

Date/Time:,26-Aug-11 08:36:16 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1974.43,3183.2893,1.0000,1.0000,-44.999,-0.159

Date/Time:,26-Aug-11 08:24:21 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1978.16,3190.0208,1.0000,1.0000,-44.995,-0.150

Date/Time:,26-Aug-11 08:12:23 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1976.27,3181.6335,1.0000,1.0000,-44.994,-0.150

Date/Time:,26-Aug-11 08:00:28 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1985.13,3208.5650,1.0000,1.0000,-44.993,-0.150

Date/Time:,26-Aug-11 07:48:28 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1975.62,3177.1656,1.0000,1.0000,-44.991,-0.147

Date/Time:,26-Aug-11 07:36:33 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1981.11,3197.1610,1.0000,1.0000,-44.992,-0.149

Date/Time:,26-Aug-11 07:24:34 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1978.89,3197.3279,1.0000,1.0000,-44.988,-0.145

Date/Time:,26-Aug-11 07:12:37 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1985.22,3207.5716,1.0000,1.0000,-44.988,-0.141

Date/Time:,26-Aug-11 07:00:37 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
