,1 (LAMPEXP),1977.99,3183.7988,1,1,-45.012,-0.185
,,,,,,,
Date/Time:,8/26/2011 23:47,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1967.19,3152.2027,1,1,-45.013,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:35,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1969.28,3169.8259,1,1,-45.012,-0.181
,,,,,,,
Date/Time:,8/26/2011 23:23,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1970.78,3161.436,1,1,-45.011,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:11,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1971.54,3177.2973,1,1,-45.007,-0.18
,,,,,,,
Date/Time:,8/26/2011 22:59,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1983.91,3195.3177,1,1,-45.006,-0.17
,,,,,,,
Date/Time:,8/26/2011 22:47,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1982.77,3193.1061,1,1,-45.006,-0.17
,,,,,,,
Date/Time:,8/26/2011 22:35,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1982.19,3192.0616,1,1,-45.002,-0.169
,,,,,,,
Date/Time:,8/26/2011 22:23,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1973.04,3170.9334,1,1,-45.006,-0.166
,,,,,,,
Date/Time:,8/26/2011 22:11,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1980.14,3176.9642,1,1,-45.006,-0.173
,,,,,,,
Date/Time:,8/26/2011 22:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1964.82,3160.132,1,1,-45.003,-0.168
,,,,,,,
Date/Time:,8/26/2011 21:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1980.88,3193.1319,1,1,-45.002,-0.162
,,,,,,,
Date/Time:,8/26/2011 21:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1969.69,3171.0664,1,1,-45.001,-0.166
,,,,,,,
Date/Time:,8/26/2011 21:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1972.59,3167.2396,1,1,-45.003,-0.165
,,,,,,,
Date/Time:,8/26/2011 21:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1983.65,3202.5229,1,1,-45.001,-0.158
,,,,,,,
Date/Time:,8/26/2011 21:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1984.37,3204.2266,1,1,-44.998,-0.157
,,,,,,,
Date/Time:,8/26/2011 20:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1975.57,3180.1571,1,1,-44.998,-0.153
,,,,,,,
Date/Time:,8/26/2011 20:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1974.43,3183.2893,1,1,-44.999,-0.159
,,,,,,,
Date/Time:,8/26/2011 20:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1978.16,3190.0208,1,1,-44.995,-0.15
,,,,,,,
Date/Time:,8/26/2011 20:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1976.27,3181.6335,1,1,-44.994,-0.15
,,,,,,,
Date/Time:,8/26/2011 20:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1985.13,3208.565,1,1,-44.993,-0.15
,,,,,,,
Date/Time:,8/26/2011 19:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
